model,corruption,severity,class,f1
frozen,low_light,1,Tomato___Early_blight,0.5333333333333333
frozen,low_light,1,Tomato___Late_blight,0.6617647058823529
frozen,low_light,1,Tomato___Leaf_Mold,0.7472527472527473
frozen,low_light,1,Tomato___Septoria_leaf_spot,0.7131782945736435
frozen,low_light,1,Tomato___Spider_mites_Two-spotted_spider_mite,0.8333333333333334
frozen,low_light,1,Tomato___Target_Spot,0.7964601769911505
frozen,low_light,1,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.908256880733945
frozen,low_light,1,Tomato___Tomato_mosaic_virus,0.8108108108108109
frozen,low_light,1,Tomato___healthy,0.9051094890510949
finetune,low_light,2,Apple___Apple_scab,0.6111111111111112
finetune,low_light,2,Apple___Black_rot,0.4948453608247423
finetune,low_light,2,Apple___Cedar_apple_rust,0.0
finetune,low_light,2,Apple___healthy,0.08695652173913043
finetune,low_light,2,Blueberry___healthy,0.8636363636363636
finetune,low_light,2,Cherry_(including_sour)___Powdery_mildew,0.9090909090909091
finetune,low_light,2,Cherry_(including_sour)___healthy,0.6923076923076923
finetune,low_light,2,Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,0.76
finetune,low_light,2,Corn_(maize)___Common_rust_,0.8135593220338984
finetune,low_light,2,Corn_(maize)___Northern_Leaf_Blight,0.7037037037037037
finetune,low_light,2,Corn_(maize)___healthy,0.7397260273972602
finetune,low_light,2,Grape___Black_rot,0.6376811594202898
finetune,low_light,2,Grape___Esca_(Black_Measles),0.9
finetune,low_light,2,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.8674698795180723
finetune,low_light,2,Grape___healthy,0.6923076923076923
finetune,low_light,2,Orange___Haunglongbing_(Citrus_greening),0.9648711943793911
finetune,low_light,2,Peach___Bacterial_spot,0.8681318681318682
finetune,low_light,2,Peach___healthy,0.6
finetune,low_light,2,"Pepper,_bell___Bacterial_spot",0.5333333333333333
finetune,low_light,2,"Pepper,_bell___healthy",0.5227272727272727
finetune,low_light,2,Potato___Early_blight,0.7435897435897436
finetune,low_light,2,Potato___Late_blight,0.3333333333333333
finetune,low_light,2,Potato___healthy,0.0
finetune,low_light,2,Raspberry___healthy,0.0
finetune,low_light,2,Soybean___healthy,0.30578512396694213
finetune,low_light,2,Squash___Powdery_mildew,0.773109243697479
finetune,low_light,2,Strawberry___Leaf_scorch,0.45595854922279794
finetune,low_light,2,Strawberry___healthy,0.36363636363636365
finetune,low_light,2,Tomato___Bacterial_spot,0.0
finetune,low_light,2,Tomato___Early_blight,0.09523809523809523
finetune,low_light,2,Tomato___Late_blight,0.0759493670886076
finetune,low_light,2,Tomato___Leaf_Mold,0.1
finetune,low_light,2,Tomato___Septoria_leaf_spot,0.18857901726427623
finetune,low_light,2,Tomato___Spider_mites_Two-spotted_spider_mite,0.21333333333333335
finetune,low_light,2,Tomato___Target_Spot,0.24615384615384617
finetune,low_light,2,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.8494623655913979
finetune,low_light,2,Tomato___Tomato_mosaic_virus,0.6086956521739131
finetune,low_light,2,Tomato___healthy,0.08955223880597014
frozen,low_light,2,Apple___Apple_scab,0.4583333333333333
frozen,low_light,2,Apple___Black_rot,0.6486486486486487
frozen,low_light,2,Apple___Cedar_apple_rust,0.0
frozen,low_light,2,Apple___healthy,0.8571428571428571
frozen,low_light,2,Blueberry___healthy,0.8571428571428571
