model,corruption,severity,class,f1,clean_f1,f1_drop
frozen,motion_blur,2,Strawberry___healthy,0.6,1.0,0.4
frozen,motion_blur,1,Tomato___Early_blight,0.4316546762589928,0.8266666666666667,0.3950119904076739
finetune,low_light,2,Tomato___Tomato_mosaic_virus,0.6086956521739131,1.0,0.3913043478260869
finetune,low_light,2,Apple___Apple_scab,0.6111111111111112,1.0,0.38888888888888884
frozen,jpeg,3,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.6041666666666666,0.9882352941176472,0.3840686274509806
finetune,low_light,1,Tomato___Early_blight,0.6206896551724138,1.0,0.3793103448275862
finetune,low_light,1,Apple___Cedar_apple_rust,0.625,1.0,0.375
frozen,motion_blur,2,Squash___Powdery_mildew,0.6226415094339622,0.9931972789115646,0.3705557694776024
frozen,motion_blur,2,Apple___Black_rot,0.6111111111111112,0.9803921568627452,0.369281045751634
frozen,low_light,2,Tomato___Early_blight,0.4578313253012048,0.8266666666666667,0.36883534136546187
frozen,motion_blur,2,Peach___Bacterial_spot,0.60431654676259,0.972972972972973,0.3686564262103831
frozen,jpeg,3,Strawberry___Leaf_scorch,0.6363636363636364,1.0,0.36363636363636365
finetune,low_light,2,Grape___Black_rot,0.6376811594202898,1.0,0.3623188405797102
finetune,jpeg,3,Potato___Late_blight,0.6376811594202898,1.0,0.3623188405797102
finetune,motion_blur,2,Grape___healthy,0.64,1.0,0.36
frozen,motion_blur,1,Tomato___Target_Spot,0.5301204819277109,0.8888888888888888,0.35876840696117795
frozen,motion_blur,3,Grape___Esca_(Black_Measles),0.6423357664233577,1.0,0.35766423357664234
finetune,motion_blur,3,Corn_(maize)___Northern_Leaf_Blight,0.6178861788617886,0.975,0.35711382113821133
finetune,motion_blur,2,Tomato___Leaf_Mold,0.6440677966101694,1.0,0.35593220338983056
frozen,jpeg,3,Apple___Black_rot,0.6285714285714286,0.9803921568627452,0.3518207282913166
frozen,jpeg,3,Squash___Powdery_mildew,0.6486486486486487,0.9931972789115646,0.34454863026291593
frozen,motion_blur,2,"Pepper,_bell___healthy",0.6222222222222222,0.9661016949152542,0.343879472693032
frozen,jpeg,3,"Pepper,_bell___Bacterial_spot",0.6086956521739131,0.951219512195122,0.34252386002120894
finetune,jpeg,3,Tomato___Late_blight,0.6545454545454545,0.9934640522875816,0.33891859774212707
frozen,low_light,1,"Pepper,_bell___Bacterial_spot",0.6129032258064516,0.951219512195122,0.3383162863886704
frozen,jpeg,2,Tomato___Target_Spot,0.5542168674698795,0.8888888888888888,0.3346720214190093
finetune,motion_blur,2,Potato___Late_blight,0.6666666666666666,1.0,0.33333333333333337
frozen,jpeg,2,Potato___healthy,0.6666666666666666,1.0,0.33333333333333337
frozen,low_light,2,Potato___healthy,0.6666666666666666,1.0,0.33333333333333337
finetune,motion_blur,3,Tomato___Tomato_mosaic_virus,0.6666666666666666,1.0,0.33333333333333337
frozen,jpeg,3,Strawberry___healthy,0.6666666666666666,1.0,0.33333333333333337
frozen,low_light,2,Apple___Black_rot,0.6486486486486487,0.9803921568627452,0.3317435082140965
frozen,jpeg,2,Grape___Black_rot,0.6578947368421053,0.9894736842105264,0.3315789473684211
frozen,low_light,3,Orange___Haunglongbing_(Citrus_greening),0.6685082872928176,1.0,0.33149171270718236
frozen,motion_blur,2,Potato___Late_blight,0.6229508196721312,0.95,0.3270491803278688
frozen,low_light,2,Potato___Late_blight,0.6233766233766234,0.95,0.3266233766233766
frozen,low_light,2,Cherry_(including_sour)___Powdery_mildew,0.6495726495726496,0.975609756097561,0.32603710652491136
frozen,low_light,2,Tomato___healthy,0.6444444444444445,0.9692307692307692,0.32478632478632474
frozen,low_light,2,Tomato___Spider_mites_Two-spotted_spider_mite,0.6031746031746031,0.927536231884058,0.32436162870945484
